transaction_id,customer_id,merchant_id,order_value,payment_method,product_category,quantity,account_age_days,previous_orders,previous_returns,previous_refunds,return_rate,rto_rate,days_since_last_order,orders_last_7_days,orders_last_30_days,address_change_count,device_account_count,shipping_distance_km,pincode_risk_score,delivery_attempts,historical_customer_risk,is_weekend,hour_of_day,customer_order_frequency,payment_failure_count,previous_chargebacks,previous_rto_count,label
RZ_100000,CUST_115795,MERCH_020,1863.61,COD,Beauty & Personal Care,2,124,0,0,0,0.0,0.0,1,2,3,0,1,782.4,0.1609,0,0.0,1,7,0.0,0,0,0,0
RZ_100001,CUST_100860,MERCH_015,447.43,CREDIT_CARD,Beauty & Personal Care,1,83,4,0,0,0.0,0.0,38,0,1,0,1,326.0,0.2121,2,0.03,1,1,1.45,1,0,0,0
RZ_100002,CUST_105390,MERCH_008,11233.91,UPI,Fashion & Apparel,3,143,6,2,2,0.3333,0.3333,15,0,3,1,2,1270.5,0.1763,1,0.3233,0,5,1.26,2,0,2,0
RZ_100003,CUST_111964,MERCH_009,12005.82,UPI,Electronics,1,15,0,0,0,0.0,0.0,15,4,6,2,3,688.9,0.1379,0,0.09,0,8,0.0,1,0,0,0
RZ_100004,CUST_111284,MERCH_005,1376.91,COD,Home & Kitchen,1,147,3,0,0,0.0,0.0,9,0,2,0,1,2152.4,0.1136,2,0.0,1,1,0.61,0,0,0,0
RZ_100005,CUST_106265,MERCH_006,16818.86,COD,Electronics,2,562,24,2,2,0.0833,0.0,19,1,2,0,3,321.8,0.3451,0,0.0892,0,2,1.28,0,0,0,0
RZ_100006,CUST_116850,MERCH_012,1636.96,CREDIT_CARD,Footwear,1,80,3,0,0,0.0,0.0,6,2,8,0,1,481.6,0.277,1,0.0,0,23,1.12,0,0,0,0
RZ_100007,CUST_104426,MERCH_007,12629.72,UPI,Electronics,3,103,6,0,0,0.0,0.0,18,0,2,0,1,1775.3,0.3043,0,0.0,0,19,1.75,0,0,0,0
RZ_100008,CUST_114423,MERCH_007,2422.1,UPI,Footwear,2,452,13,1,1,0.0769,0.0,38,1,2,0,1,519.9,0.4171,3,0.0269,0,16,0.86,0,0,0,0
RZ_100009,CUST_111363,MERCH_015,1519.63,CREDIT_CARD,Fashion & Apparel,1,63,2,0,1,0.0,0.0,56,1,5,0,1,834.2,0.1747,0,0.03,0,17,0.95,1,0,0,0
RZ_100010,CUST_116023,MERCH_019,724.73,COD,Beauty & Personal Care,1,148,6,0,0,0.0,0.0,10,0,0,0,1,252.9,0.2022,1,0.0,0,17,1.22,0,0,0,0
RZ_100011,CUST_108322,MERCH_013,1929.52,COD,Fashion & Apparel,3,565,17,1,1,0.0588,0.0,30,1,2,0,1,248.5,0.1538,0,0.0206,0,1,0.9,0,0,0,0
RZ_100012,CUST_101685,MERCH_018,10026.88,UPI,Home & Kitchen,4,675,13,0,1,0.0,0.0,33,0,0,0,1,725.9,0.2906,0,0.0,0,7,0.58,0,0,0,0
RZ_100013,CUST_100769,MERCH_010,3487.55,UPI,Fashion & Apparel,1,327,5,0,0,0.0,0.0,9,0,1,0,2,637.0,0.3744,1,0.03,1,9,0.46,0,0,0,0
RZ_100014,CUST_102433,MERCH_008,2097.67,COD,Fashion & Apparel,1,325,22,0,1,0.0,0.0,27,1,4,0,1,564.7,0.3452,0,0.0,1,15,2.03,0,0,0,0
RZ_100015,CUST_105311,MERCH_025,4825.19,UPI,Home & Kitchen,1,375,13,0,0,0.0,0.0,31,1,2,0,1,623.5,0.0981,0,0.0,0,16,1.04,0,0,0,0
RZ_100016,CUST_105051,MERCH_011,9857.28,UPI,Electronics,1,114,1,0,0,0.0,0.0,12,4,4,1,1,1323.6,0.2703,0,0.03,0,4,0.26,1,0,0,0
RZ_100017,CUST_106420,MERCH_008,3327.05,COD,Fashion & Apparel,3,18,0,0,0,0.0,0.0,32,0,2,0,1,344.0,0.1057,0,0.0,0,20,0.0,0,0,0,0
RZ_100018,CUST_117568,MERCH_008,3850.7,UPI,Home & Kitchen,1,32,2,0,0,0.0,0.0,39,0,3,0,2,1408.4,0.4041,0,0.03,0,13,1.88,0,0,0,0
RZ_100019,CUST_119769,MERCH_015,836.33,CREDIT_CARD,Home & Kitchen,1,256,12,8,8,0.6667,0.25,29,3,3,1,3,762.4,0.3494,2,0.3808,0,7,1.41,0,0,3,0
RZ_100020,CUST_106396,MERCH_002,3455.07,COD,Jewelry & Accessories,1,173,11,0,1,0.0,0.0,23,1,1,0,2,835.0,0.3263,1,0.03,1,18,1.91,0,0,0,0
RZ_100021,CUST_108666,MERCH_020,4118.32,CREDIT_CARD,Electronics,1,307,3,0,0,0.0,0.0,46,0,1,2,2,767.2,0.6614,0,0.06,0,6,0.29,1,0,0,0
RZ_100022,CUST_118942,MERCH_022,7910.82,COD,Electronics,1,149,7,1,1,0.1429,0.0,105,0,4,0,1,756.9,0.2383,0,0.05,1,13,1.41,0,0,0,1
